Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
Robbery - Individual,230770567,Robbery - Individual,9/22/2023,7:00:00 AM,Parking Lot,"13xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230739337,Motor Vehicle Theft - Generalist,9/22/2023,6:00:00 AM,Single Family Home,"27xx Azelda St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230739282,Domestic Violence,9/22/2023,3:00:00 AM,70 - Other Vehicle,"20xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,230739122,Drug Offense,9/22/2023,2:07:00 AM,Street,"Aberdeen Ave & Medina Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230739108,Domestic Violence,9/22/2023,2:03:00 AM,Single Family Home,"11xx Walters St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230739033,Menacing - Ziu,9/22/2023,1:01:00 AM,Single Family Home,"20xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Shoplifting,23000767,Theft - Shoplifting,9/22/2023,12:19:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Assault - Simple,233010811,Domestic Violence,9/22/2023,12:14:00 AM,Multiple Dwelling,"10xx Atcheson St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Weapons Violation,233010808,Weapons Offense,9/21/2023,9:29:00 PM,Street,"Joyce St & E Hudson Avenue, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Robbery - Individual,230742782,Robbery - Individual,9/21/2023,9:24:00 PM,Park/playground,"23xx Delbert Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230738441,Felony Assault,9/21/2023,8:08:00 PM,Multiple Dwelling,"5xx E 8th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,01-23-006093,Larceny/theft,9/21/2023,7:54:00 PM,Parking Lot,"18xx Olentangy River Rd, Columbus, Oh 43212",Address,Franklin County Sheriff's Office
Weapons Violation,230738119,Weapons Offense,9/21/2023,6:46:00 PM,Street,"Abner Ave & Hamilton Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230739017,Motor Vehicle Theft - Generalist,9/21/2023,6:15:00 PM,Parking Garage,"8xx N Pearl St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,01-23-006137,Unspecified,9/21/2023,5:40:00 PM,,"14xx Olentangy River Rd, Clinton Twp, Oh 43224",Address,Franklin County Sheriff's Office
All Other - Non-Criminal,202301440,Non-criminal Incident,9/21/2023,5:37:00 PM,,"15xx Guilford Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Burglary from Motor Vehicle,230743150,Theft - From Motor Vehicle - Petit - Ziu,9/21/2023,5:00:00 PM,Single Family Home,"5xx Piedmont Rd, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh)
Theft,01-23-006092,Larceny/theft,9/21/2023,4:36:00 PM,,"7xx Kinnear Rd, Clinton Twp, Oh 43224",Address,Franklin County Sheriff's Office
Weapons Violation,230737780,Weapons Offense,9/21/2023,4:28:00 PM,Single Family Home,"12xx N 5th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230737757,Motor Vehicle Theft - Generalist,9/21/2023,4:10:00 PM,Parking Lot,"11xx W 5th Ave, Columbus, Oh 43212",Address,Columbus Division Of Police (Oh)
Weapons Violation,230737647,Weapons Offense,9/21/2023,3:46:00 PM,70 - Other Vehicle,"E, Xx Th Ave And Hamilton Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230539466,Motor Vehicle Theft - Generalist,9/21/2023,3:40:00 PM,Street,"Ifo, 14xx Cordell Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230737590,Domestic Violence,9/21/2023,3:29:00 PM,Multiple Dwelling,"13xx Summit St, Apt A Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230737686,Missing Person,9/21/2023,2:30:00 PM,School,"14xx Huy Rd, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230737416,Motor Vehicle Theft - Generalist,9/21/2023,2:18:00 PM,Daycare Facility,"8xx Michigan Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Weapons Violation,230737377,Weapons Offense,9/21/2023,2:05:00 PM,Street,"26xx Osceola Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230737399,Menacing - Ziu,9/21/2023,2:00:00 PM,Single Family Home,"12xx Hildreth Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230737261,Motor Vehicle Theft - Generalist,9/21/2023,1:13:00 PM,Street,"8xx Ingleside Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Shoplifting,23000764,Theft - Shoplifting,9/21/2023,12:19:00 PM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
All Other - Criminal,230736872,Truancy,9/21/2023,10:27:00 AM,School,"E 25th St & Ontario Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
