,Unnamed: 0,Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency,Lat,Lng,Hour,Density
0,0,Robbery - Individual,230770567,Robbery - Individual,9/22/2023,7:00:00 AM,Parking Lot,"13xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9940977,-83.0068864,7,571.3857459478708
1,1,Motor Vehicle Theft,230739337,Motor Vehicle Theft - Generalist,9/22/2023,6:00:00 AM,Single Family Home,"27xx Azelda St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.022079,-82.9872459,6,398.0608992607358
2,2,Assault - Simple,230739282,Domestic Violence,9/22/2023,3:00:00 AM,70 - Other Vehicle,"20xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0091011,-82.9701954,3,1017.7102416380224
3,3,Drugs / Narcotics Violation,230739122,Drug Offense,9/22/2023,2:07:00 AM,Street,"Aberdeen Ave & Medina Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh),40.0211471,-82.9740594,2,470.48136990689574
4,4,Assault - Simple,230739108,Domestic Violence,9/22/2023,2:03:00 AM,Single Family Home,"11xx Walters St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9877916,-82.9830266,2,738.1469766342485
5,5,All Other - Criminal,230739033,Menacing - Ziu,9/22/2023,1:01:00 AM,Single Family Home,"20xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0091011,-82.9701954,1,2446.9240638772626
6,6,Shoplifting,23000767,Theft - Shoplifting,9/22/2023,12:19:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department,39.9795352,-83.0451845,12,1693.6282912225063
7,7,Assault - Simple,233010811,Domestic Violence,9/22/2023,12:14:00 AM,Multiple Dwelling,"10xx Atcheson St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh),39.9744757,-82.9702965,12,759.8568657981203
8,8,Weapons Violation,233010808,Weapons Offense,9/21/2023,9:29:00 PM,Street,"Joyce St & E Hudson Avenue, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh),40.0140472,-82.9757029,21,1614.1898276593076
9,9,Robbery - Individual,230742782,Robbery - Individual,9/21/2023,9:24:00 PM,Park/playground,"23xx Delbert Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0050621,-82.9611239,21,724.1962811828099
10,10,Assault - Aggravated,230738441,Felony Assault,9/21/2023,8:08:00 PM,Multiple Dwelling,"5xx E 8th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9916024,-82.9969178,20,1710.0795721006016
11,11,Theft,01-23-006093,Larceny/theft,9/21/2023,7:54:00 PM,Parking Lot,"18xx Olentangy River Rd, Columbus, Oh 43212",Address,Franklin County Sheriff's Office,39.9887726,-83.0257486,19,784.6430018340341
12,12,Weapons Violation,230738119,Weapons Offense,9/21/2023,6:46:00 PM,Street,"Abner Ave & Hamilton Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh),40.0249713,-82.97809199999999,18,541.8969021504638
13,13,Motor Vehicle Theft,230739017,Motor Vehicle Theft - Generalist,9/21/2023,6:15:00 PM,Parking Garage,"8xx N Pearl St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9780036,-83.0028973,18,1027.522577397657
14,14,All Other - Non-Criminal,01-23-006137,Unspecified,9/21/2023,5:40:00 PM,,"14xx Olentangy River Rd, Clinton Twp, Oh 43224",Address,Franklin County Sheriff's Office,40.0201128,-83.02456,17,454.6770609757781
15,15,All Other - Non-Criminal,202301440,Non-criminal Incident,9/21/2023,5:37:00 PM,,"15xx Guilford Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department,40.001268,-83.0582891,17,370.2588307623526
16,16,Burglary from Motor Vehicle,230743150,Theft - From Motor Vehicle - Petit - Ziu,9/21/2023,5:00:00 PM,Single Family Home,"5xx Piedmont Rd, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh),40.0351133,-83.0081913,17,399.5881012692323
17,17,Theft,01-23-006092,Larceny/theft,9/21/2023,4:36:00 PM,,"7xx Kinnear Rd, Clinton Twp, Oh 43224",Address,Franklin County Sheriff's Office,39.9978981,-83.0363771,16,463.5531273834197
18,18,Weapons Violation,230737780,Weapons Offense,9/21/2023,4:28:00 PM,Single Family Home,"12xx N 5th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9884899,-82.9982535,16,1094.1631623593248
